Track,for,Earl,2016,,,,
Date,Time,(UTC),Latitude,Longitude,,,
MM/DD/Year,HH:MM:SS,(deg),(deg),,,,
8/2/2016,12:57:59,16.151,N,79.512,W,-8.09,0.35
8/2/2016,13:00:00,16.152,N,79.521,W,-8.08,0.36
8/2/2016,13:02:00,16.152,N,79.531,W,-8.08,0.37
8/2/2016,13:03:59,16.153,N,79.54,W,-8.07,0.38
8/2/2016,13:06:00,16.153,N,79.549,W,-8.07,0.39
8/2/2016,13:07:59,16.153,N,79.558,W,-8.06,0.4
8/2/2016,13:10:00,16.154,N,79.567,W,-8.06,0.41
8/2/2016,13:11:59,16.154,N,79.576,W,-8.05,0.42
8/2/2016,13:14:00,16.155,N,79.585,W,-8.05,0.43
8/2/2016,13:15:59,16.155,N,79.594,W,-8.04,0.44
8/2/2016,13:18:00,16.156,N,79.603,W,-8.04,0.45
8/2/2016,13:19:59,16.156,N,79.612,W,-8.03,0.46
8/2/2016,13:22:00,16.157,N,79.621,W,-8.03,0.47
8/2/2016,13:23:59,16.157,N,79.63,W,-8.03,0.47
8/2/2016,13:26:00,16.158,N,79.639,W,-8.02,0.48
8/2/2016,13:27:59,16.158,N,79.648,W,-8.02,0.49
8/2/2016,13:30:00,16.159,N,79.657,W,-8.01,0.5
8/2/2016,13:32:00,16.159,N,79.666,W,-8.01,0.51
8/2/2016,13:33:59,16.16,N,79.675,W,-8,0.52
8/2/2016,13:36:00,16.16,N,79.684,W,-8,0.53
8/2/2016,13:37:59,16.161,N,79.693,W,-8,0.54
8/2/2016,13:40:00,16.162,N,79.702,W,-7.99,0.55
8/2/2016,13:41:59,16.162,N,79.711,W,-7.99,0.55
8/2/2016,13:44:00,16.163,N,79.72,W,-7.98,0.56
8/2/2016,13:45:59,16.163,N,79.729,W,-7.98,0.57
8/2/2016,13:48:00,16.164,N,79.738,W,-7.98,0.58
8/2/2016,13:49:59,16.165,N,79.747,W,-7.97,0.59
8/2/2016,13:52:00,16.165,N,79.756,W,-7.97,0.59
8/2/2016,13:53:59,16.166,N,79.765,W,-7.96,0.6
8/2/2016,13:56:00,16.167,N,79.774,W,-7.96,0.61
8/2/2016,13:57:59,16.167,N,79.783,W,-7.96,0.62
8/2/2016,14:00:00,16.168,N,79.792,W,-7.95,0.63
8/2/2016,14:02:00,16.169,N,79.801,W,-7.95,0.63
8/2/2016,14:03:59,16.169,N,79.809,W,-7.94,0.64
8/2/2016,14:06:00,16.17,N,79.818,W,-7.94,0.65
8/2/2016,14:07:59,16.171,N,79.827,W,-7.94,0.66
8/2/2016,14:10:00,16.171,N,79.836,W,-7.93,0.66
8/2/2016,14:11:59,16.172,N,79.845,W,-7.93,0.67
8/2/2016,14:14:00,16.173,N,79.854,W,-7.93,0.68
8/2/2016,14:15:59,16.174,N,79.863,W,-7.92,0.69
8/2/2016,14:18:00,16.174,N,79.872,W,-7.92,0.69
8/2/2016,14:19:59,16.175,N,79.881,W,-7.92,0.7
8/2/2016,14:22:00,16.176,N,79.89,W,-7.91,0.71
8/2/2016,14:23:59,16.177,N,79.899,W,-7.91,0.71
8/2/2016,14:26:00,16.177,N,79.907,W,-7.91,0.72
8/2/2016,14:27:59,16.178,N,79.916,W,-7.9,0.73
8/2/2016,14:30:00,16.179,N,79.925,W,-7.9,0.73
8/2/2016,14:32:00,16.18,N,79.934,W,-7.9,0.74
8/2/2016,14:33:59,16.181,N,79.943,W,-7.89,0.75
8/2/2016,14:36:00,16.181,N,79.952,W,-7.89,0.75
8/2/2016,14:37:59,16.182,N,79.961,W,-7.89,0.76
8/2/2016,14:40:00,16.183,N,79.97,W,-7.88,0.76
8/2/2016,14:41:59,16.184,N,79.978,W,-7.88,0.77
8/2/2016,14:44:00,16.185,N,79.987,W,-7.88,0.78
8/2/2016,14:45:59,16.186,N,79.996,W,-7.88,0.78
8/2/2016,14:48:00,16.186,N,80.005,W,-7.87,0.79
8/2/2016,14:49:59,16.187,N,80.014,W,-7.87,0.79
8/2/2016,14:52:00,16.188,N,80.023,W,-7.87,0.8
8/2/2016,14:53:59,16.189,N,80.031,W,-7.86,0.81
8/2/2016,14:56:00,16.19,N,80.04,W,-7.86,0.81
8/2/2016,14:57:59,16.191,N,80.049,W,-7.86,0.82
8/2/2016,15:00:00,16.192,N,80.058,W,-7.86,0.82
8/2/2016,15:02:00,16.192,N,80.067,W,-7.85,0.83
8/2/2016,15:03:59,16.193,N,80.076,W,-7.85,0.83
8/2/2016,15:06:00,16.194,N,80.084,W,-7.85,0.84
8/2/2016,15:07:59,16.195,N,80.093,W,-7.85,0.84
8/2/2016,15:10:00,16.196,N,80.102,W,-7.84,0.85
8/2/2016,15:11:59,16.197,N,80.111,W,-7.84,0.85
8/2/2016,15:14:00,16.198,N,80.12,W,-7.84,0.86
8/2/2016,15:15:59,16.199,N,80.129,W,-7.84,0.86
8/2/2016,15:18:00,16.2,N,80.137,W,-7.83,0.87
8/2/2016,15:19:59,16.201,N,80.146,W,-7.83,0.87
8/2/2016,15:22:00,16.202,N,80.155,W,-7.83,0.88
8/2/2016,15:23:59,16.203,N,80.164,W,-7.83,0.88
8/2/2016,15:26:00,16.204,N,80.173,W,-7.83,0.89
8/2/2016,15:27:59,16.205,N,80.181,W,-7.82,0.89
8/2/2016,15:30:00,16.206,N,80.19,W,-7.82,0.9
8/2/2016,15:32:00,16.206,N,80.199,W,-7.82,0.9
8/2/2016,15:33:59,16.207,N,80.208,W,-7.82,0.9
8/2/2016,15:36:00,16.208,N,80.216,W,-7.82,0.91
8/2/2016,15:37:59,16.209,N,80.225,W,-7.81,0.91
8/2/2016,15:40:00,16.21,N,80.234,W,-7.81,0.92
8/2/2016,15:41:59,16.211,N,80.243,W,-7.81,0.92
8/2/2016,15:44:00,16.212,N,80.252,W,-7.81,0.92
8/2/2016,15:45:59,16.213,N,80.26,W,-7.81,0.93
8/2/2016,15:48:00,16.214,N,80.269,W,-7.8,0.93
8/2/2016,15:49:59,16.215,N,80.278,W,-7.8,0.93
8/2/2016,15:52:00,16.216,N,80.287,W,-7.8,0.94
8/2/2016,15:53:59,16.217,N,80.295,W,-7.8,0.94
8/2/2016,15:56:00,16.218,N,80.304,W,-7.8,0.94
8/2/2016,15:57:59,16.219,N,80.313,W,-7.8,0.95
8/2/2016,16:00:00,16.22,N,80.322,W,-7.79,0.95
8/2/2016,16:00:58,16.221,N,80.326,W,-7.99,0.89
8/2/2016,16:02:59,16.222,N,80.335,W,-8.01,0.89
8/2/2016,16:04:58,16.223,N,80.344,W,-8.02,0.9
8/2/2016,16:06:58,16.224,N,80.353,W,-8.03,0.9
8/2/2016,16:08:59,16.225,N,80.362,W,-8.04,0.9
8/2/2016,16:10:59,16.226,N,80.371,W,-8.06,0.9
8/2/2016,16:12:58,16.227,N,80.38,W,-8.07,0.9
8/2/2016,16:14:58,16.228,N,80.389,W,-8.09,0.9
8/2/2016,16:16:59,16.229,N,80.398,W,-8.1,0.91
8/2/2016,16:18:59,16.23,N,80.407,W,-8.12,0.91
8/2/2016,16:20:58,16.231,N,80.417,W,-8.13,0.91
