Track for Colin                2010
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
08/06/2010 06:14:31     27.025 N     66.432 W
08/06/2010 06:16:31     27.027 N     66.432 W
08/06/2010 06:18:30     27.029 N     66.432 W
08/06/2010 06:20:30     27.031 N     66.432 W
08/06/2010 06:22:31     27.033 N     66.432 W
08/06/2010 06:24:31     27.035 N     66.432 W
08/06/2010 06:26:30     27.037 N     66.432 W
08/06/2010 06:28:30     27.039 N     66.432 W
08/06/2010 06:30:31     27.041 N     66.432 W
08/06/2010 06:32:31     27.043 N     66.432 W
08/06/2010 06:34:30     27.045 N     66.432 W
08/06/2010 06:36:31     27.047 N     66.432 W
08/06/2010 06:38:31     27.049 N     66.432 W
08/06/2010 06:40:30     27.051 N     66.432 W
08/06/2010 06:42:30     27.053 N     66.431 W
08/06/2010 06:44:31     27.054 N     66.431 W
08/06/2010 06:46:31     27.056 N     66.431 W
08/06/2010 06:48:30     27.058 N     66.431 W
08/06/2010 06:50:30     27.060 N     66.431 W
08/06/2010 06:52:31     27.061 N     66.431 W
08/06/2010 06:54:31     27.063 N     66.431 W
08/06/2010 06:56:30     27.065 N     66.431 W
08/06/2010 06:58:30     27.067 N     66.431 W
08/06/2010 07:00:31     27.068 N     66.431 W
08/06/2010 07:02:31     27.070 N     66.431 W
08/06/2010 07:04:30     27.071 N     66.431 W
08/06/2010 07:06:31     27.073 N     66.431 W
08/06/2010 07:08:31     27.075 N     66.430 W
08/06/2010 07:10:30     27.076 N     66.430 W
08/06/2010 07:12:30     27.078 N     66.430 W
08/06/2010 07:14:31     27.079 N     66.430 W
08/06/2010 07:16:31     27.081 N     66.430 W
08/06/2010 07:18:30     27.082 N     66.430 W
08/06/2010 07:20:30     27.083 N     66.430 W
08/06/2010 07:22:31     27.085 N     66.430 W
08/06/2010 07:24:31     27.086 N     66.430 W
08/06/2010 07:26:30     27.088 N     66.429 W
08/06/2010 07:28:30     27.089 N     66.429 W
08/06/2010 07:30:31     27.090 N     66.429 W
08/06/2010 07:32:31     27.092 N     66.429 W
