Track,for,Omar,2008,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
10/13/2008,13:23:59,15.132,N,69.676,W
10/13/2008,13:26:00,15.131,N,69.677,W
10/13/2008,13:27:59,15.129,N,69.678,W
10/13/2008,13:30:00,15.127,N,69.68,W
10/13/2008,13:32:00,15.125,N,69.681,W
10/13/2008,13:33:59,15.123,N,69.682,W
10/13/2008,13:36:00,15.122,N,69.683,W
10/13/2008,13:37:59,15.12,N,69.684,W
10/13/2008,13:40:00,15.118,N,69.686,W
10/13/2008,13:41:59,15.116,N,69.687,W
10/13/2008,13:44:00,15.114,N,69.688,W
10/13/2008,13:45:59,15.113,N,69.689,W
10/13/2008,13:48:00,15.111,N,69.69,W
10/13/2008,13:49:59,15.109,N,69.691,W
10/13/2008,13:52:00,15.107,N,69.692,W
10/13/2008,13:53:59,15.105,N,69.693,W
10/13/2008,13:56:00,15.103,N,69.694,W
10/13/2008,13:57:59,15.101,N,69.695,W
10/13/2008,14:00:00,15.099,N,69.696,W
10/13/2008,14:02:00,15.098,N,69.697,W
10/13/2008,14:03:59,15.096,N,69.698,W
10/13/2008,14:06:00,15.094,N,69.699,W
10/13/2008,14:07:59,15.092,N,69.7,W
10/13/2008,14:10:00,15.09,N,69.7,W
10/13/2008,14:11:59,15.088,N,69.701,W
10/13/2008,14:14:00,15.086,N,69.702,W
10/13/2008,14:15:59,15.084,N,69.703,W
10/13/2008,14:18:00,15.082,N,69.703,W
10/13/2008,14:19:59,15.08,N,69.704,W
10/13/2008,14:22:00,15.078,N,69.705,W
10/13/2008,14:23:59,15.076,N,69.705,W
10/13/2008,14:26:00,15.074,N,69.706,W
10/13/2008,14:27:59,15.072,N,69.707,W
10/13/2008,14:30:00,15.07,N,69.707,W
10/13/2008,14:32:00,15.068,N,69.708,W
10/13/2008,14:33:59,15.066,N,69.708,W
10/13/2008,14:36:00,15.064,N,69.709,W
10/13/2008,14:37:59,15.062,N,69.709,W
10/13/2008,14:40:00,15.06,N,69.709,W
10/13/2008,14:41:59,15.058,N,69.71,W
10/13/2008,14:44:00,15.056,N,69.71,W
10/13/2008,14:45:59,15.054,N,69.711,W
10/13/2008,14:48:00,15.052,N,69.711,W
10/13/2008,14:49:59,15.05,N,69.711,W
10/13/2008,14:52:00,15.047,N,69.712,W
10/13/2008,14:53:59,15.045,N,69.712,W
10/13/2008,14:56:00,15.043,N,69.712,W
10/13/2008,14:57:59,15.041,N,69.712,W
10/13/2008,15:00:00,15.039,N,69.712,W
10/13/2008,15:02:00,15.037,N,69.713,W
10/13/2008,15:03:59,15.035,N,69.713,W
10/13/2008,15:06:00,15.032,N,69.713,W
10/13/2008,15:07:59,15.03,N,69.713,W
10/13/2008,15:10:00,15.028,N,69.713,W
10/13/2008,15:11:59,15.026,N,69.713,W
10/13/2008,15:14:00,15.024,N,69.713,W
10/13/2008,15:15:59,15.022,N,69.713,W
10/13/2008,15:18:00,15.019,N,69.713,W
10/13/2008,15:19:59,15.017,N,69.713,W
10/13/2008,15:22:00,15.015,N,69.713,W
10/13/2008,15:23:59,15.013,N,69.713,W
10/13/2008,15:26:00,15.01,N,69.713,W
10/13/2008,15:27:59,15.008,N,69.713,W
10/13/2008,15:30:00,15.006,N,69.712,W
10/13/2008,15:32:00,15.004,N,69.712,W
10/13/2008,15:33:59,15.001,N,69.712,W
10/13/2008,15:36:00,14.999,N,69.712,W
10/13/2008,15:37:59,14.997,N,69.712,W
10/13/2008,15:40:00,14.995,N,69.711,W
10/13/2008,15:41:59,14.992,N,69.711,W
10/13/2008,15:44:00,14.99,N,69.711,W
10/13/2008,15:45:59,14.988,N,69.71,W
10/13/2008,15:48:00,14.985,N,69.71,W
10/13/2008,15:49:59,14.983,N,69.71,W
10/13/2008,15:52:00,14.981,N,69.709,W
10/13/2008,15:53:59,14.978,N,69.709,W
10/13/2008,15:56:00,14.976,N,69.708,W
10/13/2008,15:57:59,14.974,N,69.708,W
10/13/2008,16:00:00,14.971,N,69.707,W
10/13/2008,16:01:59,14.969,N,69.707,W
10/13/2008,16:04:00,14.967,N,69.706,W
10/13/2008,16:06:00,14.964,N,69.706,W
10/13/2008,16:07:59,14.962,N,69.705,W
10/13/2008,16:09:59,14.96,N,69.705,W
10/13/2008,16:12:00,14.957,N,69.704,W
10/13/2008,16:14:00,14.955,N,69.703,W
10/13/2008,16:15:59,14.952,N,69.703,W
10/13/2008,16:17:59,14.95,N,69.702,W
10/13/2008,16:20:00,14.947,N,69.701,W
10/13/2008,16:22:00,14.945,N,69.701,W
10/13/2008,16:23:59,14.943,N,69.7,W
10/13/2008,16:25:59,14.94,N,69.699,W
10/13/2008,16:28:00,14.938,N,69.699,W
10/13/2008,16:30:00,14.935,N,69.698,W
10/13/2008,16:31:59,14.933,N,69.697,W
10/13/2008,16:34:00,14.93,N,69.696,W
10/13/2008,16:36:00,14.928,N,69.695,W
10/13/2008,16:37:59,14.925,N,69.694,W
10/13/2008,16:39:59,14.923,N,69.694,W
10/13/2008,16:42:00,14.92,N,69.693,W
10/13/2008,16:44:00,14.918,N,69.692,W
10/13/2008,16:45:59,14.915,N,69.691,W
10/13/2008,16:47:59,14.913,N,69.69,W
10/13/2008,16:50:00,14.91,N,69.689,W
10/13/2008,16:52:00,14.908,N,69.688,W
10/13/2008,16:53:59,14.905,N,69.687,W
10/13/2008,16:55:59,14.903,N,69.686,W
10/13/2008,16:58:00,14.9,N,69.685,W
10/13/2008,17:00:00,14.898,N,69.684,W
10/13/2008,17:01:59,14.895,N,69.683,W
10/13/2008,17:04:00,14.893,N,69.682,W
10/13/2008,17:06:00,14.89,N,69.681,W
10/13/2008,17:07:59,14.888,N,69.679,W
10/13/2008,17:09:59,14.885,N,69.678,W
10/13/2008,17:12:00,14.882,N,69.677,W
10/13/2008,17:14:00,14.88,N,69.676,W
10/13/2008,17:15:59,14.877,N,69.675,W
10/13/2008,17:17:59,14.875,N,69.674,W
10/13/2008,17:20:00,14.872,N,69.672,W
10/13/2008,17:22:00,14.87,N,69.671,W
10/13/2008,17:23:59,14.867,N,69.67,W
10/13/2008,17:25:59,14.864,N,69.669,W
10/13/2008,17:28:00,14.862,N,69.667,W
10/13/2008,17:30:00,14.859,N,69.666,W
10/13/2008,17:31:59,14.856,N,69.665,W
10/13/2008,17:34:00,14.854,N,69.663,W
10/13/2008,17:36:00,14.851,N,69.662,W
10/13/2008,17:37:59,14.849,N,69.661,W
10/13/2008,17:39:59,14.846,N,69.659,W
10/13/2008,17:42:00,14.843,N,69.658,W
10/13/2008,17:44:00,14.841,N,69.656,W
10/13/2008,17:45:59,14.838,N,69.655,W
10/13/2008,17:47:59,14.835,N,69.654,W
10/13/2008,17:50:00,14.833,N,69.652,W
10/13/2008,17:52:00,14.83,N,69.651,W
10/13/2008,17:53:59,14.827,N,69.649,W
10/13/2008,17:55:59,14.825,N,69.648,W
10/13/2008,17:58:00,14.822,N,69.646,W
10/13/2008,18:00:00,14.819,N,69.645,W
10/13/2008,18:01:59,14.816,N,69.643,W
10/13/2008,18:04:00,14.814,N,69.641,W
10/13/2008,18:06:00,14.811,N,69.64,W
10/13/2008,18:07:59,14.808,N,69.638,W
10/13/2008,18:09:59,14.806,N,69.637,W
10/13/2008,18:12:00,14.803,N,69.635,W
10/13/2008,18:14:00,14.8,N,69.633,W
10/13/2008,18:15:59,14.797,N,69.632,W
10/13/2008,18:17:59,14.795,N,69.63,W
10/13/2008,18:20:00,14.792,N,69.628,W
10/13/2008,18:22:00,14.789,N,69.627,W
10/13/2008,18:23:59,14.786,N,69.625,W
10/13/2008,18:25:59,14.784,N,69.623,W
10/13/2008,18:28:00,14.781,N,69.622,W
10/13/2008,18:30:00,14.778,N,69.62,W
10/13/2008,18:31:59,14.775,N,69.618,W
10/13/2008,18:34:00,14.773,N,69.616,W
10/13/2008,18:36:00,14.77,N,69.615,W
10/13/2008,18:37:59,14.767,N,69.613,W
10/13/2008,18:39:59,14.764,N,69.611,W
10/13/2008,18:42:00,14.761,N,69.609,W
10/13/2008,18:44:00,14.759,N,69.607,W
10/13/2008,18:45:59,14.756,N,69.605,W
10/13/2008,18:47:59,14.753,N,69.604,W
10/13/2008,18:50:00,14.75,N,69.602,W
10/13/2008,18:52:00,14.747,N,69.6,W
10/13/2008,18:53:59,14.745,N,69.598,W
10/13/2008,18:55:59,14.742,N,69.596,W
10/13/2008,18:58:00,14.739,N,69.594,W
10/13/2008,19:00:00,14.736,N,69.592,W
10/13/2008,19:01:59,14.733,N,69.59,W
10/13/2008,19:04:00,14.731,N,69.588,W
10/13/2008,19:06:00,14.728,N,69.586,W
10/13/2008,19:07:59,14.725,N,69.584,W
10/13/2008,19:09:59,14.722,N,69.582,W
10/13/2008,19:12:00,14.719,N,69.58,W
10/13/2008,19:14:00,14.716,N,69.578,W
10/13/2008,19:15:59,14.713,N,69.576,W
10/13/2008,19:17:59,14.711,N,69.574,W
10/13/2008,19:20:00,14.708,N,69.572,W
10/13/2008,19:22:00,14.705,N,69.57,W
10/13/2008,19:23:59,14.702,N,69.568,W
10/13/2008,19:25:59,14.699,N,69.566,W
10/13/2008,19:28:00,14.696,N,69.564,W
10/13/2008,19:30:00,14.693,N,69.562,W
10/13/2008,19:31:59,14.691,N,69.56,W
10/13/2008,19:34:00,14.688,N,69.558,W
10/13/2008,19:36:00,14.685,N,69.556,W
10/13/2008,19:37:59,14.682,N,69.554,W
10/13/2008,19:39:59,14.679,N,69.551,W
10/13/2008,19:42:00,14.676,N,69.549,W
10/13/2008,19:44:00,14.673,N,69.547,W
10/13/2008,19:45:59,14.67,N,69.545,W
10/13/2008,19:47:59,14.667,N,69.543,W
10/13/2008,19:50:00,14.665,N,69.541,W
