Track,for,Gabrielle,2001,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
9/13/2001,6:14:00,24.847,N,85.02,W,1
9/13/2001,6:15:59,24.846,N,85.015,W,1
9/13/2001,6:17:59,24.846,N,85.011,W,1
9/13/2001,6:20:00,24.846,N,85.006,W,1
9/13/2001,6:22:00,24.845,N,85.002,W,1
9/13/2001,6:23:59,24.845,N,84.998,W,1
9/13/2001,6:25:59,24.845,N,84.993,W,1
9/13/2001,6:28:00,24.845,N,84.989,W,1
9/13/2001,6:30:00,24.844,N,84.984,W,1
9/13/2001,6:31:59,24.844,N,84.98,W,1
9/13/2001,6:34:00,24.844,N,84.975,W,1
9/13/2001,6:36:00,24.844,N,84.971,W,1
9/13/2001,6:37:59,24.844,N,84.966,W,1
9/13/2001,6:39:59,24.843,N,84.962,W,1
9/13/2001,6:42:00,24.843,N,84.957,W,1
9/13/2001,6:44:00,24.843,N,84.953,W,1
9/13/2001,6:45:59,24.843,N,84.948,W,1
9/13/2001,6:47:59,24.843,N,84.943,W,1
9/13/2001,6:50:00,24.843,N,84.939,W,1
9/13/2001,6:52:00,24.843,N,84.934,W,1
9/13/2001,6:53:59,24.843,N,84.93,W,1
9/13/2001,6:55:59,24.843,N,84.925,W,1
9/13/2001,6:58:00,24.843,N,84.921,W,1
9/13/2001,7:00:00,24.843,N,84.916,W,1
9/13/2001,7:01:59,24.843,N,84.911,W,1
9/13/2001,7:04:00,24.843,N,84.907,W,1
9/13/2001,7:06:00,24.844,N,84.902,W,1
9/13/2001,7:07:59,24.844,N,84.897,W,1
9/13/2001,7:09:59,24.844,N,84.893,W,1
9/13/2001,7:12:00,24.844,N,84.888,W,1
9/13/2001,7:14:00,24.844,N,84.884,W,1
9/13/2001,7:15:59,24.845,N,84.879,W,1
9/13/2001,7:17:59,24.845,N,84.874,W,1
9/13/2001,7:20:00,24.845,N,84.87,W,1
9/13/2001,7:22:00,24.845,N,84.865,W,1
9/13/2001,7:23:59,24.846,N,84.86,W,1
9/13/2001,7:25:59,24.846,N,84.856,W,1
9/13/2001,7:28:00,24.846,N,84.851,W,1
9/13/2001,7:30:00,24.847,N,84.846,W,1
9/13/2001,7:31:59,24.847,N,84.842,W,1
9/13/2001,7:34:00,24.847,N,84.837,W,1
9/13/2001,7:36:00,24.848,N,84.832,W,1
9/13/2001,7:37:59,24.848,N,84.827,W,1
9/13/2001,7:39:59,24.849,N,84.823,W,1
9/13/2001,7:42:00,24.849,N,84.818,W,1
9/13/2001,7:44:00,24.849,N,84.813,W,1
9/13/2001,7:45:59,24.85,N,84.809,W,1
9/13/2001,7:47:59,24.85,N,84.804,W,1
9/13/2001,7:50:00,24.851,N,84.799,W,1
9/13/2001,7:52:00,24.851,N,84.795,W,1
9/13/2001,7:53:59,24.852,N,84.79,W,1
9/13/2001,7:55:59,24.853,N,84.785,W,1
9/13/2001,7:58:00,24.853,N,84.781,W,1
9/13/2001,8:00:00,24.854,N,84.776,W,1
9/13/2001,8:01:59,24.854,N,84.771,W,1
9/13/2001,8:03:59,24.855,N,84.766,W,1
9/13/2001,8:05:59,24.856,N,84.762,W,1
9/13/2001,8:08:00,24.856,N,84.757,W,1
9/13/2001,8:10:00,24.857,N,84.752,W,1
9/13/2001,8:12:00,24.858,N,84.748,W,1
9/13/2001,8:14:00,24.858,N,84.743,W,1
9/13/2001,8:15:59,24.859,N,84.738,W,1
9/13/2001,8:17:59,24.86,N,84.734,W,1
9/13/2001,8:19:59,24.86,N,84.729,W,1
9/13/2001,8:21:59,24.861,N,84.724,W,1
9/13/2001,8:24:00,24.862,N,84.72,W,1
9/13/2001,8:26:00,24.863,N,84.715,W,1
9/13/2001,8:28:00,24.864,N,84.71,W,1
9/13/2001,8:30:00,24.864,N,84.706,W,1
9/13/2001,8:31:59,24.865,N,84.701,W,1
9/13/2001,8:33:59,24.866,N,84.696,W,1
9/13/2001,8:35:59,24.867,N,84.692,W,1
