Track,for,Danielle,2010,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
8/27/2010,7:01:59,26.293,N,58.468,W,4
8/27/2010,7:03:59,26.296,N,58.473,W,4
8/27/2010,7:05:59,26.299,N,58.479,W,4
8/27/2010,7:07:59,26.302,N,58.484,W,4
8/27/2010,7:09:59,26.305,N,58.49,W,4
8/27/2010,7:11:59,26.307,N,58.495,W,4
8/27/2010,7:13:59,26.31,N,58.5,W,4
8/27/2010,7:16:00,26.313,N,58.506,W,4
8/27/2010,7:18:00,26.316,N,58.511,W,4
8/27/2010,7:20:00,26.319,N,58.516,W,4
8/27/2010,7:22:00,26.322,N,58.522,W,4
8/27/2010,7:24:00,26.325,N,58.527,W,4
8/27/2010,7:26:00,26.328,N,58.533,W,4
8/27/2010,7:28:00,26.331,N,58.538,W,4
8/27/2010,7:30:00,26.333,N,58.543,W,4
8/27/2010,7:31:59,26.336,N,58.549,W,4
8/27/2010,7:33:59,26.339,N,58.554,W,4
8/27/2010,7:35:59,26.342,N,58.559,W,4
8/27/2010,7:37:59,26.345,N,58.565,W,4
8/27/2010,7:39:59,26.348,N,58.57,W,4
8/27/2010,7:41:59,26.35,N,58.575,W,4
8/27/2010,7:43:59,26.353,N,58.581,W,4
8/27/2010,7:46:00,26.356,N,58.586,W,4
8/27/2010,7:48:00,26.359,N,58.591,W,4
8/27/2010,7:50:00,26.362,N,58.597,W,4
8/27/2010,7:52:00,26.364,N,58.602,W,4
8/27/2010,7:54:00,26.367,N,58.608,W,4
8/27/2010,7:56:00,26.37,N,58.613,W,4
8/27/2010,7:58:00,26.373,N,58.618,W,4
8/27/2010,8:00:00,26.375,N,58.624,W,4
8/27/2010,8:02:00,26.378,N,58.629,W,4
8/27/2010,8:03:59,26.381,N,58.634,W,4
8/27/2010,8:06:00,26.384,N,58.639,W,4
8/27/2010,8:07:59,26.386,N,58.645,W,4
8/27/2010,8:10:00,26.389,N,58.65,W,4
8/27/2010,8:11:59,26.392,N,58.655,W,4
8/27/2010,8:14:00,26.395,N,58.661,W,4
8/27/2010,8:15:59,26.397,N,58.666,W,4
8/27/2010,8:18:00,26.4,N,58.671,W,4
8/27/2010,8:19:59,26.403,N,58.677,W,4
8/27/2010,8:22:00,26.405,N,58.682,W,4
8/27/2010,8:23:59,26.408,N,58.687,W,4
8/27/2010,8:26:00,26.411,N,58.693,W,4
8/27/2010,8:27:59,26.414,N,58.698,W,4
8/27/2010,8:30:00,26.416,N,58.703,W,4
8/27/2010,8:32:00,26.419,N,58.708,W,4
8/27/2010,8:33:59,26.422,N,58.714,W,4
8/27/2010,8:36:00,26.424,N,58.719,W,4
8/27/2010,8:37:59,26.427,N,58.724,W,4
8/27/2010,8:40:00,26.43,N,58.73,W,4
8/27/2010,8:41:59,26.432,N,58.735,W,4
8/27/2010,8:44:00,26.435,N,58.74,W,4
8/27/2010,8:45:59,26.437,N,58.745,W,4
8/27/2010,8:48:00,26.44,N,58.751,W,4
8/27/2010,8:49:59,26.443,N,58.756,W,4
8/27/2010,8:52:00,26.445,N,58.761,W,4
8/27/2010,8:53:59,26.448,N,58.766,W,4
8/27/2010,8:56:00,26.45,N,58.772,W,4
8/27/2010,8:57:59,26.453,N,58.777,W,4
8/27/2010,9:00:00,26.456,N,58.782,W,4
8/27/2010,9:02:00,26.458,N,58.787,W,4
8/27/2010,9:03:59,26.461,N,58.793,W,4
8/27/2010,9:06:00,26.463,N,58.798,W,4
8/27/2010,9:07:59,26.466,N,58.803,W,4
8/27/2010,9:10:00,26.468,N,58.808,W,4
8/27/2010,9:11:59,26.471,N,58.814,W,4
8/27/2010,9:14:00,26.474,N,58.819,W,4
8/27/2010,9:15:59,26.476,N,58.824,W,4
8/27/2010,9:18:00,26.479,N,58.829,W,4
8/27/2010,9:19:59,26.481,N,58.835,W,4
8/27/2010,9:22:00,26.484,N,58.84,W,4
8/27/2010,9:23:59,26.486,N,58.845,W,4
8/27/2010,9:26:00,26.489,N,58.85,W,4
8/27/2010,9:27:59,26.491,N,58.856,W,4
8/27/2010,9:30:00,26.494,N,58.861,W,4
8/27/2010,9:32:00,26.496,N,58.866,W,4
8/27/2010,9:33:59,26.499,N,58.871,W,4
8/27/2010,9:36:00,26.501,N,58.876,W,4
8/27/2010,9:37:59,26.503,N,58.882,W,4
8/27/2010,9:40:00,26.506,N,58.887,W,4
8/27/2010,9:41:59,26.508,N,58.892,W,4
8/27/2010,9:44:00,26.511,N,58.897,W,4
8/27/2010,9:45:59,26.513,N,58.902,W,4
8/27/2010,9:48:00,26.516,N,58.908,W,4
8/27/2010,9:49:59,26.518,N,58.913,W,4
8/27/2010,9:52:00,26.521,N,58.918,W,4
8/27/2010,9:53:59,26.523,N,58.923,W,4
8/27/2010,9:56:00,26.525,N,58.928,W,4
8/27/2010,9:57:59,26.528,N,58.934,W,4
8/27/2010,10:00:00,26.53,N,58.939,W,4
8/27/2010,10:02:00,26.533,N,58.944,W,4
8/27/2010,10:03:59,26.535,N,58.949,W,4
8/27/2010,10:06:00,26.537,N,58.954,W,4
8/27/2010,10:07:59,26.54,N,58.959,W,4
8/27/2010,10:10:00,26.542,N,58.965,W,4
8/27/2010,10:11:59,26.545,N,58.97,W,4
8/27/2010,10:14:00,26.547,N,58.975,W,4
8/27/2010,10:15:59,26.549,N,58.98,W,4
8/27/2010,10:18:00,26.552,N,58.985,W,4
8/27/2010,10:19:59,26.554,N,58.99,W,4
8/27/2010,10:22:00,26.556,N,58.996,W,4
8/27/2010,10:23:59,26.559,N,59.001,W,4
8/27/2010,10:26:00,26.561,N,59.006,W,4
8/27/2010,10:27:59,26.563,N,59.011,W,4
8/27/2010,10:30:00,26.566,N,59.016,W,4
8/27/2010,10:32:00,26.568,N,59.021,W,4
8/27/2010,10:33:59,26.57,N,59.027,W,4
8/27/2010,10:36:00,26.573,N,59.032,W,4
8/27/2010,10:37:59,26.575,N,59.037,W,4
8/27/2010,10:40:00,26.577,N,59.042,W,4
8/27/2010,10:41:59,26.579,N,59.047,W,4
8/27/2010,10:44:00,26.582,N,59.052,W,4
8/27/2010,10:45:59,26.584,N,59.057,W,4
8/27/2010,10:48:00,26.586,N,59.062,W,4
8/27/2010,10:49:59,26.589,N,59.068,W,4
8/27/2010,10:52:00,26.591,N,59.073,W,4
8/27/2010,10:53:59,26.593,N,59.078,W,4
8/27/2010,10:56:00,26.595,N,59.083,W,4
8/27/2010,10:57:59,26.598,N,59.088,W,4
8/27/2010,11:00:00,26.6,N,59.093,W,4
8/27/2010,11:02:00,26.602,N,59.098,W,4
8/27/2010,11:03:59,26.604,N,59.103,W,4
8/27/2010,11:06:00,26.607,N,59.109,W,4
8/27/2010,11:07:59,26.609,N,59.114,W,4
8/27/2010,11:10:00,26.611,N,59.119,W,4
8/27/2010,11:11:59,26.613,N,59.124,W,4
8/27/2010,11:14:00,26.615,N,59.129,W,4
8/27/2010,11:15:59,26.618,N,59.134,W,4
8/27/2010,11:18:00,26.62,N,59.139,W,4
8/27/2010,11:19:59,26.622,N,59.144,W,4
8/27/2010,11:22:00,26.624,N,59.149,W,4
8/27/2010,11:23:59,26.626,N,59.155,W,4
8/27/2010,11:26:00,26.629,N,59.16,W,4
8/27/2010,11:27:59,26.631,N,59.165,W,4
8/27/2010,11:30:00,26.633,N,59.17,W,4
8/27/2010,11:32:00,26.635,N,59.175,W,4
8/27/2010,11:33:59,26.637,N,59.18,W,4
8/27/2010,11:36:00,26.64,N,59.185,W,4
8/27/2010,11:37:59,26.642,N,59.19,W,4
8/27/2010,11:40:00,26.644,N,59.195,W,4
8/27/2010,11:41:59,26.646,N,59.2,W,4
8/27/2010,11:44:00,26.648,N,59.205,W,4
8/27/2010,11:45:59,26.65,N,59.21,W,4
