x,y,z
-469.44,451.27814,104.91219
-469.44,455.20224,104.729294
-469.44,459.12637,104.7598
-469.44,463.0506,104.455
-469.44,466.9747,103.9673
-469.44,470.89893,103.6625
-469.44,474.82306,103.2053
-469.44,478.74716,102.809
-469.44,482.6714,102.169
-469.44,486.59552,101.833694
-469.44,490.51962,101.4679
-469.44,494.44385,100.8888
-469.44,498.36798,100.645004
-469.44,502.29218,100.3706
-469.44,506.2163,99.9134
-469.44,510.14044,99.4562
-469.44,514.06464,99.1514
-469.44,517.9888,98.5723
-469.44,521.9129,98.2675
-469.44,525.8371,97.9627
-469.44,529.7612,97.5665
-469.44,533.6854,97.048294
-469.44,537.60956,96.6216
-469.44,541.5337,96.4997
-469.44,545.4579,96.012
-469.44,549.382,95.8291
-469.44,553.30615,95.4024
-469.44,557.23035,95.1281
-469.44,561.1545,94.914696
-469.44,565.0786,94.7318
-469.44,569.0028,94.366104
-469.44,572.92694,93.9698
-469.44,576.8512,93.9394
-469.44,580.77527,93.512596
-469.44,584.6994,93.421196
-469.44,588.62366,93.3907
-469.44,592.5477,92.8421
-469.44,596.47186,92.5373
-469.44,600.3961,92.5068
-469.44,604.3202,94.091805
-469.44,608.24445,93.8784
-469.44,612.1686,94.0003
-469.44,616.09265,93.2078
-469.44,620.0169,93.1774
-469.44,623.94104,93.2383
-469.44,627.8651,92.9335
-469.44,631.78937,92.659195
-469.44,635.7135,92.4458
-469.44,639.6377,92.263
-469.44,643.5618,91.8667
-469.44,647.48596,92.0801
-469.44,651.41016,92.2934
-469.44,655.3343,92.2325
-469.44,659.2584,92.0191
-469.44,663.1826,91.7753
-469.44,667.10675,91.4095
-469.44,671.03094,90.5561
-469.44,674.9551,90.3122
-465.52798,-678.8792,94.7623
-465.52798,-674.9551,95.0671
-465.52798,-671.0309,95.7682
-465.52798,-667.10675,96.3168
-465.52798,-663.18256,98.6942
-465.52798,-659.2584,99.3953
-465.52798,-655.3343,100.8583
-465.52798,-651.4101,101.4679
-465.52798,-647.48596,101.6508
-465.52798,-643.5618,101.5898
-465.52798,-639.63763,101.9861
-465.52798,-635.7135,102.5652
-465.52798,-631.7893,102.869995
-465.52798,-627.8652,102.6262
-465.52798,-623.94104,102.7786
-465.52798,-620.01685,102.9919
-465.52798,-616.09265,103.6625
-465.52798,-612.1686,102.2909
-465.52798,-608.2444,102.4433
-465.52798,-604.3202,102.1994
-465.52798,-600.3961,100.9498
-465.52798,-596.4719,100.4621
-465.52798,-592.5477,99.3648
-465.52798,-588.6236,98.3285
-465.52798,-584.6994,97.3836
-465.52798,-580.77527,95.5243
-465.52798,-576.85114,95.7377
-465.52798,-572.92694,93.8784
-465.52798,-569.0028,93.543106
-465.52798,-565.0787,94.2137
-465.52798,-561.1545,92.4763
-465.52798,-557.23035,89.6112
-465.52798,-553.30615,86.4413
-465.52798,-549.382,84.0029
-465.52798,-545.4579,85.2526
-465.52798,-541.5337,88.178604
-465.52798,-537.60956,88.6968
-465.52798,-533.6854,88.8797
-465.52798,-529.7612,88.453
-465.52798,-525.83704,88.574905
-465.52798,-521.9129,88.6968
-465.52798,-517.9888,88.9102
-465.52798,-514.0646,88.9102
-465.52798,-510.14044,88.9711
-465.52798,-506.2163,88.8492
-465.52798,-502.29214,88.7882
-465.52798,-498.36798,89.0016
-465.52798,-494.44385,89.1235
-465.52798,-490.51962,89.1235
